Z                                       xi                                                    xi1                                                    xi2                                                   xi3                                                     xi4                                                    delta                                                                delta1                                                                delta2                                                                delta3                                                                delta4                                                                Ts                                                                Ts1                                                                 Ts2                                                                 Ts3                                                                Ts4
 6.070534         1.000000             1.000000           1.000000         0.000000             0.000000           0.244825         1.390066             0.895003           -0.506779         -0.878991             2348.474121           6172.719727          3833.737549             1039.147217           536.347717
 6.071324         1.000000             1.000000           1.000000         0.000000             0.000000           -0.383291         -0.001091             0.378377           -0.510503         -0.877810             2151.451660           4441.786133          3449.771484             1517.785645           510.402863
 6.072113         1.000000             1.000000           1.000000         0.231671             0.000000           -0.757073         0.120537             -0.379174           1.004538         -0.633108             1811.803711           2883.279785          2847.203613             2284.214111           640.637634
 6.072903         1.000000             1.000000           1.000000         0.002783             0.000000           -0.255085         1.769401             -0.627698           -0.003741         -0.754368             2282.088135           3006.624512          2286.378662             1994.398438           682.313782
 6.073693         1.000000             1.000000           1.000000         0.000002             0.000000           0.503885         1.515428             -0.125806           -0.001779         -0.630591             3156.894287           4576.892090          2214.579590             4021.300537           709.657715
 6.074484         1.000000             0.129472           1.000000         0.823404             0.000000           0.506226         0.253990             -0.384193           2.538082         -0.757260             2751.964355           4957.276367          2739.608398             7875.425293           714.007019
 6.075274         1.000000             0.085432           1.000000         0.397216             0.000000           0.372850         1.393956             -0.754684           0.258786         -0.259200             2926.568848           3665.637695          1916.156738             6647.573242           897.264343
 6.076064         1.000000             1.000000           1.000000         1.000000             0.001636           0.372843         0.257924             -0.755343           3.173855         -0.254596             5317.282715           4322.443848          1746.265259             5964.399902           988.476990
 6.076855         1.000000             0.010866           1.000000         0.136105             0.277906           -0.002266         -0.502247             -0.877303           0.122562         1.264577             4130.188477           3426.914551          1407.246338             3640.422607           2015.510254
 6.077646         1.000000             0.000000           1.000000         0.532034             0.000011           -0.131770         -0.755837             -0.628841           -0.500555         -0.378347             4402.332031           1423.728394          1459.035889             2413.083008           1045.355957
 6.078436         1.000000             0.000000           1.000000         0.132922             0.000009           -0.255470         -0.879389             -0.255864           0.631034         -0.383911             2974.158203           1012.875977          1585.636597             2072.136719           1033.362915
 6.079227         0.000000             0.000000           1.000000         0.000007             0.000000           -0.630625         -0.876919             -0.375996           0.246509         -0.133249             1468.891479           1018.321533          1484.804932             1442.664307           1033.773682
 6.080018         0.000000             0.000000           0.080626         0.000000             0.000001           -0.754421         -0.756088             0.127532           -0.630155         -0.007119             1248.405884           1168.057251          1442.896484             1247.889648           1001.040466
 6.080810         0.000000             0.000000           0.034048         0.000000             0.000000           -0.754018         -0.261763             0.507760           -0.634058         -0.507189             1386.352783           1318.567993          1491.526367             1079.694336           818.250061
 6.081601         0.032862             0.003684           0.000169         0.000000             0.000000           -0.500078         -0.005077             -0.378078           -0.756055         -0.879372             1959.041016           1497.596802          1327.415283             1004.636780           644.481323
 6.082393         1.000000             0.000000           0.000000         0.000000             0.000000           1.008505         -0.383501             -0.751623           -0.754566         -0.753910             2839.347412           1277.094604          1145.848511             1143.327271           833.923218
 6.083184         1.000000             0.000000           0.000000         0.000000             0.000000           0.879018         -0.379946             -0.135671           -0.510058         -0.878315             1996.346069           1312.256104          1297.691650             1150.274780           745.039490
 6.083976         1.000000             0.000000           0.000000         0.000000             0.000000           0.252806         0.247135             -0.128526           -0.628960         -0.390089             2116.458984           1417.061035          1213.173950             1421.317139           853.006165
 6.084768         1.000000             0.004308           0.000000         0.004676             0.000000           -0.000251         -0.126871             -0.256068           -0.252617         -0.757221             2095.061035           1467.390503          1399.530884             1570.953491           769.027527
 6.085560         1.000000             0.000000           0.000000         0.414031             0.000000           -0.630505         -0.754948             -0.380954           0.509857         -0.628232             1585.080688           1208.114990          1433.593140             2524.320557           750.131287
 6.086352         1.000000             0.000000           0.000022         0.000003             0.000000           -0.756264         -0.752760             0.121585           0.126950         -0.756011             1522.801758           1235.457520          1431.949585             1456.116943           684.256836
 6.087144         1.000000             0.000329           0.000000         0.000891             0.000000           -0.752926         -0.632598             -0.261054           -0.628896         -0.753181             1623.794312           1333.626099          1616.571045             1457.351807           751.149414
 6.087937         1.000000             0.000000           0.000000         0.000001             0.000000           -0.251000         -0.131419             -0.385200           -0.375902         -0.752688             1981.064819           1618.601807          1422.462402             1611.773193           727.063354
 6.088729         1.000000             0.000008           0.000000         0.000000             0.000000           0.378881         -0.253847             -0.754923           -0.262376         -0.754207             2067.300293           1696.837891          1431.927124             1745.771729           741.703796
 6.089522         1.000000             0.000001           0.000000         0.000000             0.000001           0.883768         -0.126538             -0.753843           -0.007461         -0.382552             2146.259521           1632.177734          1751.279419             1981.406006           808.800781
 6.090315         1.000000             0.000084           0.000000         0.000008             0.000000           -0.128420         -0.376012             -0.382521           -0.130156         -0.260798             2358.914795           1510.675903          3011.261963             2578.784668           724.453979
 6.091108         1.000000             0.000016           1.000000         1.000000             0.000000           -0.003494         -0.507111             -0.129705           2.282098         -0.756098             2886.887207           1280.544312          3247.605957             2532.170898           821.166626
 6.091901         1.000000             0.000001           1.000000         0.599191             0.000000           3.164472         -0.128162             -0.256443           1.134022         -0.508505             5161.766113           1399.048584          3823.845215             2994.960938           1168.814697
 6.092694         1.000000             0.009217           1.000000         0.000001             0.000000           2.531865         -0.123774             -0.505376           -0.507490         -0.753334             6401.996582           1505.888672          4220.747559             1808.599854           1287.421753
 6.093487         1.000000             0.000033           1.000000         0.002797             0.000000           -0.006269         -0.753524             -0.633782           -0.257872         -0.751908             6805.771484           1276.117310          4322.940430             2013.478394           1336.843140
 6.094281         1.000000             0.000000           1.000000         0.010211             1.000000           2.148025         -0.001868             2.158199           -0.628175         -0.754550             7029.854492           1445.506226          6203.437988             1647.115479           2053.180664
 6.095074         1.000000             0.005051           1.000000         0.000002             1.000000           1.010742         0.249236             3.302056           0.120718         -0.750906             6185.710938           1499.071045          6241.329102             1630.571777           2832.137451
 6.095868         1.000000             0.122879           1.000000         0.026205             1.000000           0.867567         -0.252020             1.133606           0.379332         -0.252690             4828.724609           1775.471191          5993.806152             1753.687744           3210.758301
 6.096662         1.000000             0.000000           1.000000         0.029319             1.000000           1.642676         -0.259557             0.879032           -0.004078         0.127767             3381.151123           1268.677368          5326.260254             2078.492676           2507.065674
 6.097456         1.000000             0.026842           1.000000         0.931866             1.000000           0.631684         0.126693             0.126763           0.760375         0.759107             3130.470215           1435.800537          4838.031250             2965.172363           2156.536865
 6.098250         1.000000             0.086494           1.000000         0.181472             0.013643           1.255521         -0.251702             0.248944           1.768031         0.252248             2568.700195           1794.614136          4982.393555             5123.554688           1338.595703
 6.099044         1.000000             0.000207           1.000000         1.000000             0.000834           2.660117         1.386835             0.756397           0.004442         0.117413             2706.384766           1372.511719          3757.186523             4644.879883           919.226990
 6.099839         0.617311             0.387467           1.000000         0.000000             0.000000           0.892889         0.379384             0.495448           -0.505577         -0.876384             3214.328857           2255.790527          2787.697998             2212.041992           693.714233
 6.100633         0.000019             0.013390           1.000000         0.000370             0.000000           -0.002494         -0.753056             -0.385302           -0.377168         0.106358             2415.060791           1302.291260          2145.567627             2423.498535           767.447205
 6.101428         0.011923             0.000499           0.000697         0.173500             0.000000           0.000584         0.248586             -0.375326           0.118270         -0.631513             2230.192627           1157.675415          2020.696167             2875.855713           753.880249
 6.102223         0.002908             0.000004           0.000001         0.063977             0.000000           0.375324         -0.504403             -0.384787           1.522730         -0.632609             2229.963623           1059.274536          1801.199219             2787.568115           751.222717
 6.103018         0.000276             0.000000           0.000000         0.000042             0.000000           -0.500904         -0.380172             -0.257611           -0.623920         -0.755526             1567.808960           1076.645996          1485.221802             1623.864868           726.512512
 6.103813         0.000000             0.102749           0.002662         0.000001             0.000000           -0.134009         -0.757635             -0.253157           -0.380829         -0.754890             1564.032959           1138.313354          1349.537476             1553.226807           820.922729
 6.104608         0.000000             0.000000           0.000000         0.000436             0.000000           -0.630561         -0.753867             -0.629656           -0.503746         -0.380948             1205.637085           959.219177          1142.735352             1466.729492           939.348694
 6.105403         0.000000             0.000000           0.000000         0.000000             0.000000           -0.631593         -0.255180             -0.754087           -0.130793         -0.753794             1450.818970           1263.055176          1160.990234             1379.860962           974.178040
 6.106199         0.000000             0.000102           0.000000         0.000000             0.025441           -0.632551         0.118943             -0.507305           -0.254013         -0.133195             1852.651978           1443.301514          1216.618286             1375.527588           994.078979
 6.106994         0.000000             0.000000           0.000000         0.000000             0.000054           -0.012914         -0.379444             -0.378640           -0.632864         -0.256091             2033.472656           1397.642334          1210.692627             1411.041870           947.557861
 6.107790         0.000024             0.064427           0.000000         0.000000             0.000000           -0.379569         -0.252896             -0.633553           -0.501321         -0.382136             2115.264404           1750.179321          1162.988159             1700.933838           924.003052
 6.108586         1.000000             0.000000           0.000000         0.000000             0.000000           -0.254756         -0.261419             -0.753117           0.127134         -0.257595             2049.844482           1479.787964          1207.015015             2151.534424           931.023560
 6.109382         1.000000             0.000000           0.000000         0.000000             0.000000           -0.377742         -0.509112             -0.257474           -0.379481         -0.752244             2039.022461           927.990601          1424.386475             3784.680420           860.214844
 6.110178         0.000001             0.000000           0.034146         1.000000             0.000000           -0.505986         -0.755672             -0.379453           1.253837         -0.381880             2093.181885           736.752991          1370.368042             5925.273438           883.065063
